,S,E,I,R
0,800,100,50,50
1,748.1390892,141.044177,44.85736151,55.68347518
2,689.0665458,185.4440855,40.47804878,60.79641966
3,624.2389492,231.5129878,36.78672109,65.42568206
4,555.8985198,276.9234795,33.70854212,69.65035792
5,487.00957,318.9283437,31.1642405,73.53886382
6,420.4450498,355.1249858,29.07238515,77.14911307
7,358.4712612,383.8232294,27.3546695,80.53060597
8,302.7459763,404.0465536,25.93593464,83.72443886
9,254.3015836,415.5495986,24.7434645,86.76397639
10,213.1632653,419.1005594,23.71219024,89.67461852
11,178.6461267,416.0084445,22.79992032,92.46735112
12,150.0191482,407.5311273,21.97096409,95.15152213
13,126.5369235,394.8542542,21.19389381,97.7365473
14,107.4394365,379.0914975,20.44156072,100.2318926
15,91.91831731,361.3016191,19.697579,102.6414242
16,79.23986906,342.3263118,18.95948959,104.9622014
17,68.82800867,322.8004019,18.22533583,107.1932436
18,60.23808638,303.2030859,17.49302841,109.334913
19,53.1568858,283.857931,16.76034535,111.3889138
20,47.31872116,265.0061125,16.02747018,113.3562881
21,42.4488412,246.8533749,15.29884485,115.2360443
22,38.36380185,229.508877,14.57771406,117.028652
23,34.91383152,213.0465423,13.86689354,118.7350878
24,31.98265709,197.5052197,13.16877449,120.3568317
25,29.4860367,182.8898129,12.48539924,121.8958083
26,27.34742631,169.1914954,11.81936217,123.3536917
27,25.50655851,156.3875913,11.17249041,124.7328021
28,23.91510156,144.4475274,10.54618019,126.0356884
29,22.53222271,133.3362689,9.941672619,127.2649028
30,21.32458824,123.0143199,9.360053597,128.423001
31,20.26619953,113.4378547,8.802247457,129.5125498
32,19.33547811,104.5625604,8.268695088,130.536403
33,18.51481561,96.34609714,7.759270246,131.4976841
34,17.78912967,88.74695557,7.273791172,132.3994046
35,17.14532132,81.72456093,6.812063122,133.2444428
36,16.572275,75.23927314,6.373878368,134.0355442
37,16.06083439,69.25243916,5.959001613,134.7753347
38,15.60339111,63.7281944,5.566831146,135.4665896
39,15.19359381,58.6339928,5.196517929,136.1121027
40,14.82582838,53.9388074,4.847260252,136.714508
41,14.49511388,49.61304492,4.518294651,137.2762974
42,14.19710257,45.62854576,4.208895907,137.7998217
43,13.92807501,41.95861547,3.918367651,138.2872978
44,13.68487823,38.57909961,3.645847768,138.7409533
45,13.46483364,35.46840631,3.390400983,139.162937
46,13.26552867,32.60611841,3.151152767,139.5552649
47,13.08478595,29.97292091,2.927276828,139.9198378
48,12.92066333,27.550601,2.71799511,140.2584417
49,12.77145294,25.32206724,2.522572832,140.5727512
50,12.6356829,23.27200318,2.340223766,140.8643919
51,12.512086,21.38680192,2.170162889,141.1348927
52,12.39950523,19.65364104,2.011656427,141.3856863
53,12.29688269,18.06043314,1.86401287,141.6181213
54,12.20325958,16.5958259,1.726582974,141.8334628
55,12.11777681,15.24922177,1.598757183,142.0328929
56,12.03968961,14.01122373,1.479923056,142.2175313
57,11.96834097,12.87338586,1.369496412,142.3884172
58,11.90312514,11.82775498,1.266931157,142.5465248
59,11.84348636,10.86688004,1.171712736,142.6927689
60,11.78891884,9.983812163,1.083358129,142.8280053
