,S,E,I,R
0,800,100,50,50
1,775.6194115,114.7141097,44.80209617,55.68122777
2,750.5455293,128.8249775,40.25148466,60.77999001
3,724.9011709,142.2660945,36.27367275,65.36796398
4,698.826082,154.9600467,32.80305127,69.5076423
5,672.4708509,166.8271604,29.77863909,73.25646034
6,645.9969091,177.7855027,27.14408312,76.66679629
7,619.5701746,187.7549491,24.8487221,79.78502171
8,593.357894,196.6607586,22.85207945,82.64698792
9,567.5204152,204.4411948,21.11813416,85.28378534
10,542.2031408,211.0529443,19.61297724,87.7242185
11,517.5365282,216.4711161,18.30481175,89.99480603
12,493.6360894,220.689242,17.16395274,92.11978069
13,470.5998928,223.7178125,16.16494303,94.11917171
14,448.5026616,225.5875919,15.28878814,96.00669919
15,427.4006104,226.3450683,14.5180388,97.79467726
16,407.3325258,226.0483697,13.83652253,99.49443269
17,388.3197667,224.7672631,13.22934361,101.1163049
18,370.3662643,222.5831551,12.68288309,102.6696459
19,353.4632594,219.5833454,12.18584078,104.161829
20,337.590949,215.8563838,11.73044828,105.5971851
21,322.7198385,211.4924991,11.30981023,106.9795729
22,308.8153816,206.579543,10.91765566,108.3125981
23,295.8379803,201.2029903,10.548338,109.5996135
24,283.7429847,195.445939,10.19683509,110.8437187
25,272.4833706,189.3867722,9.859318807,112.0471741
26,262.0115768,183.0961308,9.533650481,113.2109641
27,252.2794529,176.6391696,9.217974094,114.3360948
28,243.2403061,170.0749798,8.910651845,115.4235839
29,234.8489015,163.4565901,8.610264152,116.4744613
30,227.0614621,156.8309657,8.315609647,117.489769
31,219.8358229,150.2392466,8.025975577,118.470271
32,213.1318548,143.7162804,7.74125173,119.4163415
33,206.9117179,137.2918561,7.461338066,120.3284832
34,201.1399577,130.9915084,7.186179674,121.207247
35,195.7835057,124.8365172,6.915766772,122.0532321
36,190.8116787,118.8439084,6.65013471,122.8670859
37,186.1958032,113.0270841,6.389450043,123.6494056
38,181.9091611,107.3962107,6.133979802,124.4007516
39,177.927102,101.9587091,5.883940536,125.1217689
40,174.2267221,96.71991894,5.639544314,125.8131236
41,170.7868645,91.68309897,5.400998723,126.4755031
42,167.5881192,86.84942684,5.168506869,127.1096158
43,164.6125495,82.21844259,4.942269506,127.7161809
44,161.843614,77.78850238,4.722423846,128.2959703
45,159.2661119,73.55687048,4.509067886,128.849783
46,156.8659188,69.52004221,4.302291049,129.3784109
47,154.6299859,65.67374389,4.102174184,129.8826393
48,152.5463405,62.01293289,3.908789564,130.3632468
49,150.6039482,58.53205752,3.72217779,130.8210219
50,148.7926844,55.22540082,3.542296098,131.2567996
51,147.1032238,52.08698328,3.369083794,131.6714059
52,145.5268747,49.11067573,3.202478203,132.0656443
53,144.0555789,46.29019935,3.042414667,132.4402964
54,142.6819121,43.61912565,2.888826548,132.7961216
55,141.3990241,41.09102546,2.741621453,133.1338761
56,140.2006443,38.69970421,2.600646667,133.4543359
57,139.0809728,36.4390414,2.465746465,133.7582528
58,138.0345835,34.30300755,2.33676898,134.0463515
59,137.0564238,32.28566424,2.213566201,134.3193294
60,136.1418148,30.3811641,2.095993974,134.5778571
