,S,E,I,R
0,800,100,50,50
1,769.0202998,121.0334886,45.05030111,55.69566476
2,736.206939,142.0101457,40.79248398,60.84123467
3,701.8265146,162.6773209,37.14879252,65.51341982
4,666.2145297,182.7391088,34.04871644,69.77976066
5,629.7594688,201.876852,31.42530895,73.70196699
6,592.90128,219.750142,29.21519299,77.33595036
7,556.095328,236.0279869,27.36094364,80.72980775
8,519.8018212,250.4148433,25.81369215,83.92005802
9,484.4353547,262.6789623,24.52783567,86.93859055
10,450.3498973,272.6606458,23.46025263,89.81395664
11,417.8387915,280.2722461,22.57030268,92.5713695
12,387.1346787,285.4977926,21.81989251,95.23267214
13,358.3931882,288.3955599,21.17727237,97.81357152
14,331.6818235,289.103253,20.6185161,100.3226032
15,307.0208034,287.7907524,20.12229517,102.7668381
16,284.3884835,284.6515012,19.66951723,105.1524839
17,263.7213568,279.9025051,19.24332603,107.4848843
18,244.9152131,273.7833331,18.82914262,109.7684664
19,227.855991,266.5244381,18.4170918,112.004376
20,212.4155976,258.3424067,18.00239121,114.1907585
21,198.4623846,249.4403229,17.58121279,116.3260841
22,185.8696442,240.0021048,17.15037275,118.4092461
23,174.5156087,230.1925039,16.70733154,120.43956
24,164.2834244,220.1572146,16.2502504,122.4167017
25,155.0612593,210.0231209,15.77978711,124.3388844
26,146.7458327,199.8942489,15.29805747,126.2039364
27,139.2432645,189.8585413,14.80697517,128.0103894
28,132.4688391,179.9895983,14.30842976,129.7571874
29,126.3470049,170.3466777,13.80428665,131.4436872
30,120.8112146,160.974871,13.2964117,133.0696319
31,115.7998586,151.909429,12.7872312,134.6345722
32,111.2581098,143.1752628,12.27904464,136.1384524
33,107.1372884,134.7900866,11.77386876,137.5815781
34,103.393726,126.7658996,11.27360068,138.9644274
35,99.98876538,119.1089863,10.78001782,140.2876508
36,96.88869208,111.81999,10.29478117,141.5520677
37,94.0629798,104.8961083,9.819377905,142.7586905
38,91.48468052,98.33164834,9.354870083,143.9089053
39,89.12971032,92.11882508,8.902178713,145.0041811
40,86.97632721,86.24827585,8.462152876,146.0460019
41,85.0051311,80.70906025,8.035569726,147.0358659
42,83.19903923,75.48868937,7.623131168,147.9752892
43,81.54269021,70.5741863,7.225272637,148.8659616
44,80.02250619,65.95252302,6.842105778,149.709767
45,78.62621365,61.61045549,6.473701881,150.5085479
46,77.3426315,57.53465339,6.120111734,151.2640919
47,76.16167115,53.71170006,5.781365616,151.9781315
48,75.07432769,50.1281053,5.457469575,152.652348
49,74.07249532,46.7708746,5.148246438,153.2885008
50,73.1489792,43.62775118,4.853339638,153.8884056
51,72.29720644,40.68679772,4.572399813,154.4537999
52,71.51113594,37.93640556,4.305086461,154.9863479
53,70.78525842,35.36529476,4.051067947,155.4876406
54,70.11459264,32.96251875,3.810019213,155.9591974
55,69.49463071,30.71777569,3.581525262,156.4025443
56,68.92136877,28.62159493,3.365082658,156.8191951
57,68.39111885,26.66490446,3.160210019,157.2105882
58,67.90046055,24.83899306,2.966448608,157.5780924
59,67.446241,23.13551021,2.783362336,157.9230063
60,67.0255749,21.54646618,2.610537758,158.2465592
