,S,E,I,R
0,800,100,50,50
1,788.1897414,102.6848016,44.77609506,55.68017779
2,776.750108,104.7849687,40.15150719,60.77173898
3,765.6694284,106.3612626,36.05744761,65.34101784
4,754.937167,107.4677852,32.43384514,69.44590725
5,744.5431661,108.1548514,29.22532473,73.13977439
6,734.4776459,108.4689894,26.38120756,76.47146067
7,724.731403,108.4523254,23.85640956,79.48440402
8,715.2965209,108.1397742,21.61563133,82.21255392
9,706.165408,107.5628769,19.62784629,84.68573947
10,697.3304403,106.7514023,17.86396526,86.93194261
11,688.7839614,105.7333467,16.29683649,88.97729811
12,680.5182822,104.5349336,14.90124566,90.84609355
13,672.5260821,103.1793182,13.65583085,92.55889913
14,664.8007088,101.6854326,12.54483204,94.13086089
15,657.3354256,100.0710514,11.55358294,95.57609321
16,650.1234608,98.35290281,10.66834013,96.90784169
17,643.1580084,96.54666845,9.876283039,98.13848312
18,636.4322271,94.66698335,9.165513966,99.27952551
19,629.939445,92.72684461,8.525966508,100.340719
20,623.6733091,90.73707108,7.950230356,101.3292506
21,617.6274546,88.70774422,7.431412387,102.2518277
22,611.7955486,86.648277,6.963057214,103.1147515
23,606.17129,84.56741394,6.539147182,103.9239176
24,600.7484097,82.4732311,6.154102369,104.6848156
25,595.5207699,80.37287864,5.803209564,105.402108
26,590.4824401,78.27233747,5.48300707,106.0792541
27,585.6275512,76.17710083,5.190275289,106.7194921
28,580.950321,74.0922252,4.922000956,107.3258717
29,576.4450548,72.02233031,4.675377145,107.9012536
30,572.1061445,69.97159914,4.447803264,108.4483096
31,567.9281149,67.94367538,4.237085871,108.9693246
32,563.9056626,65.94156244,4.041615172,109.4660236
33,560.0335889,63.96794574,3.859893216,109.9400301
34,556.3068094,62.02523131,3.690518614,110.3928794
35,552.7203544,60.1155458,3.532186533,110.8260185
36,549.2693687,58.24073645,3.383688698,111.240806
37,545.94913,56.40233732,3.244006024,111.6384206
38,542.7550715,54.6015347,3.112387429,112.0197823
39,539.6827463,52.83931717,2.988132765,112.3857641
40,536.7278271,51.11650346,2.870586812,112.7371967
41,533.8861058,49.43374244,2.759139279,113.0748683
42,531.1534941,47.7915131,2.653224803,113.3995248
43,528.5260293,46.19011904,2.552364677,113.7118279
44,525.9998889,44.62968314,2.456200576,114.0123208
45,523.5713675,43.11021441,2.364397114,114.3015238
46,521.2368712,41.63162654,2.276639842,114.5799353
47,518.9929174,40.1937379,2.192635248,114.848032
48,516.8361347,38.79627151,2.112110754,115.1062689
49,514.7632645,37.43885958,2.034832804,115.355061
50,512.7711713,36.1210498,1.960620298,115.5947686
51,510.8568248,34.84233183,1.889302506,115.8257397
52,509.0172922,33.60214861,1.820718642,116.0483093
53,507.2497378,32.39989631,1.754717867,116.2628004
54,505.5514234,31.23492435,1.691159291,116.4695233
55,503.9197076,30.10654227,1.629919307,116.6687682
56,502.3520542,29.01402956,1.570896253,116.8607996
57,500.8460175,27.95664292,1.513993342,117.0458736
58,499.3992332,26.93362225,1.459118778,117.2242384
59,498.0094191,25.94419067,1.406185748,117.3961338
60,496.6743746,24.98755454,1.355112427,117.5617911
