,S,E,I,R
0,800,100,50,50
1,762.2725806,127.4972582,44.82914102,55.68236705
2,721.3097357,155.7200238,40.36078595,60.78772607
3,677.6136969,184.1214485,36.51860087,65.39464186
4,631.8699204,212.0312648,33.23108124,69.5738595
5,584.9234735,238.6786476,30.43033012,73.38956383
6,537.7155626,263.2655385,28.05331259,76.89763235
7,491.2269522,285.0539645,26.04373954,80.14221463
8,446.3051913,303.4754506,24.34841065,83.16255726
9,403.649648,318.1399233,22.91688749,85.99363394
10,363.8115097,328.8357107,21.70149353,88.66614544
11,327.1882142,335.5316613,20.65757587,91.20643035
12,293.9334384,338.4300753,19.74918514,93.63263917
13,264.0160477,337.8895936,18.94896522,95.95575271
14,237.333527,334.3038126,18.23251336,98.18561966
15,213.7158348,328.0959657,17.5781331,100.3312769
16,192.9254033,319.7189231,16.96683424,102.4009494
17,174.6695684,309.6445923,16.38267951,104.4016125
18,158.6832497,298.2765165,15.81699969,106.335012
19,144.6923149,285.9758793,15.26553266,108.2010576
20,132.4459327,273.059033,14.72445863,110.0002931
21,121.7238791,259.7929071,14.1903366,111.7338241
22,112.336537,246.3950088,13.66010435,113.4033184
23,104.1198085,233.0382762,13.13150393,115.0105918
24,96.90737601,219.8751484,12.60581687,116.5550569
25,90.56239627,207.0144906,12.08451498,118.0366407
26,84.96753525,194.5412528,11.56878435,119.4557763
27,80.02188484,182.5199099,11.0597149,120.8131954
28,75.64096286,170.9944618,10.55830038,122.1099284
29,71.75501109,159.9899716,10.06555505,123.3471958
30,68.29865408,149.5226763,9.583024844,124.5259086
31,65.2179697,139.5970412,9.111835148,125.6474143
32,62.46606412,130.2112941,8.652948937,126.7131832
33,60.00203553,121.3583949,8.207243306,127.7247352
34,57.79097409,113.0260361,7.775509465,128.68364
35,55.80358575,105.1970276,7.358451706,129.5915176
36,54.01381838,97.85264357,6.956520745,130.4501562
37,52.39960037,90.97271983,6.569880054,131.2615039
38,50.94132809,84.5363135,6.198651389,132.0274665
39,49.62161856,78.52188656,5.842930113,132.7498946
40,48.42530932,72.90730579,5.502785198,133.430584
41,47.33936717,67.66998549,5.178238166,134.0712942
42,46.35234335,62.7884315,4.869044047,134.6739172
43,45.45434621,58.24209755,4.574826006,135.2403518
44,44.63644569,54.01094834,4.29521893,135.7724114
45,43.89060285,50.07548869,4.029867999,136.2718274
46,43.20966985,46.41676355,3.778428674,136.7402497
47,42.58736631,43.01642955,3.540549919,137.1792603
48,42.01816991,39.85762352,3.31572776,137.5904826
49,41.49723987,36.92468932,3.103417373,137.9754862
50,41.02015035,34.20262644,2.90310225,138.3357589
51,40.58286655,31.6770877,2.714290175,138.6727121
52,40.18174463,29.33437926,2.536513224,138.9876806
53,39.81352626,27.1615016,2.369317654,139.281931
54,39.47533505,25.14667492,2.212183588,139.5567159
55,39.16462241,23.27908965,2.064592293,139.8132221
56,38.87903566,21.54846487,1.926053955,140.052571
57,38.61640882,19.94504099,1.796104403,140.2758231
58,38.37476258,18.45957965,1.67430511,140.4839778
59,38.15231114,17.08342629,1.560236102,140.677977
60,37.94747878,15.80884066,1.453456244,140.8587278
