,S,E,I,R
0,800,100,50,50
1,733.1093499,155.4607053,45.42776743,55.71522704
2,653.4750444,218.3172939,41.87717548,60.94359069
3,564.67407,284.4822943,39.28079406,65.80356951
4,472.8549966,347.7896398,37.53148789,70.40404847
5,384.7573388,402.0785604,36.47760796,74.83880212
6,305.6176002,443.0818684,35.94950769,79.18054545
7,238.9342453,468.6388903,35.75854673,83.4841397
8,185.0836495,479.7511243,35.737289,87.77923362
9,142.7792842,478.8379231,35.76937553,92.06890374
10,110.4269596,468.4604295,35.75656429,96.3546968
11,86.1408888,451.306371,35.61853501,100.636739
12,67.89190214,429.9156035,35.32130319,104.8979462
13,54.06378254,406.1140378,34.87035595,109.111862
14,43.50790299,381.2026669,34.27001667,113.2589263
15,35.51272523,356.0071364,33.52188542,117.3261284
16,29.4145964,331.1912199,32.64204603,121.2973723
17,24.67639317,307.2089003,31.65522068,125.15625
18,20.95317343,284.31806,30.58186155,128.8910151
19,18.00143374,262.6644804,29.4406266,132.492782
20,15.63817751,242.3155579,28.25034269,135.9542838
21,13.7304946,223.2817552,27.02769251,139.2710825
22,12.17499075,205.5482289,25.78736628,142.4403118
23,10.89322864,189.079519,24.54234294,145.4603823
24,9.829848135,173.8206408,23.30412053,148.3308306
25,8.940691918,159.7078102,22.08236818,151.0527816
26,8.193535616,146.6744514,20.88347957,153.6297217
27,7.561704638,134.653965,19.71312685,156.0653062
28,7.023197905,123.5800896,18.5764853,158.363186
29,6.560687845,113.3869017,17.47823328,160.5270078
30,6.161337458,104.0090842,16.42233774,162.5606201
31,5.815207075,95.3861307,15.4102565,164.4696097
32,5.514246415,87.46274283,14.44237174,166.2599293
33,5.25150958,80.18618142,13.51902779,167.9372031
34,5.021076975,73.50618932,12.64050752,169.5067659
35,4.818055306,67.37499142,11.80703236,170.973663
36,4.638551705,61.74751489,11.01861112,172.3427822
37,4.479451365,56.5838624,10.27396786,173.6197008
38,4.338154151,51.84800969,9.571529503,174.8098541
39,4.21236319,47.50588378,8.909832703,175.9183426
40,4.100070146,43.52533782,8.287489819,176.9499694
41,3.999555218,39.87615112,7.703188908,177.9092405
42,3.909381856,36.53017013,7.155616125,178.8004287
43,3.828361555,33.4627807,6.642942824,179.627943
44,3.755481694,30.65185695,6.163321466,180.3959447
45,3.689831688,28.07653475,5.715026522,181.1083368
46,3.630598577,25.71719917,5.296433442,181.7687868
47,3.577067023,23.55548442,4.906018653,182.3807262
48,3.528618531,21.57435898,4.542323297,182.947379
49,3.484730587,19.75899742,4.203730397,183.4718968
50,3.444950503,18.09610015,3.888689001,183.9572059
51,3.408865368,16.57314309,3.595747359,184.4060518
52,3.376100585,15.17837019,3.323541423,184.8210115
53,3.346319868,13.90079339,3.070794842,185.2044938
54,3.319224745,12.73021815,2.836304128,185.5587516
55,3.294558812,11.65774416,2.618851509,185.8859182
56,3.272101141,10.67554097,2.41728967,186.1879461
57,3.251647575,9.776228395,2.230543462,186.4666689
58,3.23300966,8.952852951,2.057604647,186.7238091
59,3.21601465,8.19888786,1.897531902,186.9609778
60,3.200505504,7.508233055,1.749450816,187.1796753
