,S,E,I,R
0,800,100,50,50
1,762.2143266,127.5538522,45.31247337,55.71070874
2,721.0627858,155.953318,41.39200992,60.90637971
3,677.035603,184.6522842,38.15820362,65.67300766
4,630.8211341,212.9674377,35.53300537,70.08813745
5,583.2817527,240.1019033,33.43957259,74.2220618
6,535.3905054,265.2197239,31.80361747,78.1353596
7,488.1736342,287.5365312,30.55360987,81.87537359
8,442.5206985,306.4438925,29.62084531,85.48269558
9,399.1682078,321.5193938,28.93949636,88.99174349
10,358.6996223,332.5266389,28.44661256,92.43076132
11,321.5389704,339.4181894,28.08212381,95.82216021
12,287.8499926,342.3974039,27.79623087,99.17902948
13,257.5993644,341.8341801,27.55345633,102.5031892
14,230.6790563,338.1357293,27.32318415,105.7953373
15,206.9103567,331.7412083,27.0790068,109.0558367
16,186.0438721,323.1217192,26.7987253,112.2847156
17,167.7724487,312.7691015,26.46487652,115.4809685
18,151.8178558,301.102422,26.07171355,118.6362587
19,137.8938767,288.4949051,25.62079631,121.7403255
20,125.7396396,275.272749,25.11392125,124.7848399
21,115.1271724,261.7103695,24.55296177,127.7632841
22,105.8614033,248.0303993,23.93986813,130.6709516
23,97.77389112,234.409441,23.27755887,133.5041079
24,90.69293187,221.0027953,22.57464465,136.2557826
25,84.47875967,207.9200564,21.83905086,138.9210675
26,79.01177373,195.2464918,21.07784192,141.4963315
27,74.18957255,183.0462296,20.29756135,143.9788584
28,69.92695394,171.3622584,19.50423186,146.3668469
29,66.1538425,160.2182526,18.70356856,148.6592219
30,62.80418474,149.6292779,17.90151705,150.8551367
31,59.82391489,139.5984445,17.10269486,152.9550692
32,57.16609329,130.1226422,16.31126763,154.9598588
33,54.78992818,121.1934265,15.5310818,156.8705827
34,52.66077575,112.7970185,14.76566465,158.6885559
35,50.74968649,104.9147734,14.01818683,160.4153672
36,49.03084545,97.52683493,13.29084371,162.0533882
37,47.482453,90.61200839,12.58506243,163.6054914
38,46.08518105,84.14836379,11.90213015,165.0745154
39,44.82194549,78.11340421,11.24321508,166.46325
40,43.67790618,72.48406572,10.60936651,167.7744363
41,42.64035517,67.23689858,10.00144801,169.0108266
42,41.69810745,62.34978651,9.41955379,170.1756568
43,40.84151143,57.80162247,8.863436302,171.2722503
44,40.06186871,53.57183668,8.332845606,172.3037839
45,39.35137014,49.64042677,7.827522739,173.2732976
46,38.70309582,45.98795776,7.347199711,174.1836949
47,38.11098499,42.59565452,6.891552001,175.037784
48,37.56969953,39.44636638,6.459835787,175.8385576
49,37.07456079,36.52417309,6.051193231,176.5889334
50,36.62129756,33.81382261,5.664811239,177.2916767
51,36.20602457,31.30073219,5.299912128,177.9494122
52,35.82524246,28.97098842,4.95575363,178.5646233
53,35.47583002,26.81139997,4.631601478,179.1396755
54,35.15502827,24.81007447,4.326536211,179.6769535
55,34.8603911,22.95609451,4.039626812,180.1787246
56,34.58966315,21.23907637,3.769994599,180.6471314
57,34.34077153,19.64916548,3.516806336,181.0842
58,34.11182586,18.17703642,3.27927424,181.4918395
59,33.90112445,16.8139678,3.056636743,181.871854
60,33.70716197,15.55218515,2.84806583,182.2259995
