,S,E,I,R
0,800,100,50,50
1,775.5823199,114.7501205,45.25827536,55.70848059
2,750.3936235,128.9683689,41.17381889,60.88998187
3,724.5538143,142.5847222,37.66903372,65.61711263
4,698.2027401,155.5156998,34.67531957,69.95283644
5,671.493898,167.6735939,32.12840846,73.95484235
6,644.5944346,178.9664692,29.96836471,77.67554491
7,617.6783375,189.3026883,28.14092695,81.16097047
8,590.9237126,198.5943351,26.60239096,84.44580427
9,564.5029586,206.7664752,25.31347933,87.55957729
10,538.5735916,213.7636271,24.23701234,90.52926579
11,513.2782444,219.5497617,23.33790801,93.37929138
12,488.7446672,224.108303,22.58318204,96.13152094
13,465.082388,227.4411748,21.94437384,98.80326987
14,442.3757065,229.5731377,21.4003272,101.4047884
15,420.6890325,230.5465438,20.93176766,103.9446747
16,400.0676624,230.4171909,20.52099409,106.4305206
17,380.5377786,229.2543226,20.15187862,108.8689113
18,362.1064499,227.140628,19.80986669,111.2654255
19,344.7666872,224.1659831,19.48318819,113.6235448
20,328.4991372,220.4223508,19.16452913,115.9433221
21,313.2737346,216.0040496,18.84778709,118.2244345
22,299.0547432,211.0032848,18.52764369,120.4665535
23,285.8007563,205.5101481,18.19956455,122.669345
24,273.4646969,199.6126175,17.85979934,124.8324692
25,261.9968417,193.3938085,17.50612544,126.9548095
26,251.346897,186.9285251,17.13846492,129.0339929
27,241.4638634,180.2858598,16.75702272,131.068005
28,232.2983222,173.5284621,16.36220422,133.0551174
29,223.8024359,166.7125377,15.95461517,134.9938875
30,215.9299482,159.8878489,15.53506176,136.8831585
31,208.6363536,153.0979221,15.10490407,138.7216684
32,201.8793514,146.3795515,14.66607769,140.508032
33,195.6191175,139.7641561,14.22037942,142.2412932
34,189.8184142,133.278604,13.76957538,143.9207228
35,184.4425905,126.9452128,13.31540112,145.5458186
36,179.4595818,120.7817495,12.85956151,147.1163054
37,174.8394787,114.8021303,12.40380224,148.6320369
38,170.554434,109.0169019,11.94973203,150.0931344
39,166.5788179,103.4337039,11.4987756,151.4999722
40,162.8888689,98.05796198,11.0522887,152.8530282
41,159.4626938,92.89288829,10.61155808,154.1528837
42,156.2802679,87.93948129,10.17780151,155.4002236
43,153.3231214,83.19703278,9.752114663,156.5958699
44,150.5742268,78.66366909,9.335284741,157.7409257
45,148.0179746,74.33637207,8.927980916,158.8365844
46,145.6398904,70.21131273,8.530826708,159.884053
47,143.4266338,66.28385131,8.144399995,160.8845515
48,141.3659993,62.54853723,7.769233007,161.8393133
49,139.446756,58.99941254,7.405733815,162.7496493
50,137.6585994,55.63041497,7.054049084,163.6170495
51,135.9920587,52.43521291,6.714272129,164.4430007
52,134.4383222,49.40731954,6.386479495,165.2289563
53,132.9892377,46.54009282,6.070730962,165.976336
54,131.6373121,43.82673551,5.767069538,166.6865257
55,130.375641,41.26047135,5.475456342,167.3609324
56,129.1979027,38.8348166,5.195684148,168.0010439
57,128.0982611,36.54336867,4.92753265,168.6083044
58,127.0712639,34.37982139,4.670783911,169.1841076
59,126.1118429,32.33796504,4.42522237,169.7297968
60,125.2153141,30.41168626,4.190634835,170.2466651
