,S,E,I,R
0,800,100,50,50
1,748.0580291,141.122958,45.368963,55.71293828
2,688.7132309,185.7779075,41.62662004,60.92426612
3,623.4061488,232.2780524,38.69582856,65.73575133
4,554.4038324,278.2600631,36.49332759,70.24028286
5,484.7512216,320.8864006,34.91705187,74.5191859
6,417.4185684,357.6506238,33.8523637,78.64071708
7,354.7565101,386.7844172,33.1863113,82.65959597
8,298.494084,407.2589823,32.80769142,86.61700196
9,249.7003165,418.8219346,32.60453334,90.54324155
10,208.3309196,422.3128936,32.47927118,94.45634749
11,173.7118913,419.0385292,32.37318998,98.35176798
12,145.1145235,410.2675052,32.23673472,102.2250624
13,121.7692138,397.2213143,32.0273863,106.0735609
14,102.863434,381.0758697,31.7101755,109.8958941
15,87.53619837,362.9286038,31.27538063,113.6781392
16,75.05800387,343.6141512,30.73179774,117.4009868
17,64.85327317,323.7746808,30.08699703,121.0502076
18,56.48298611,303.886887,29.34793603,124.6150767
19,49.62771129,284.2770677,28.5218979,128.0876242
20,43.96636846,265.2223439,27.62390978,131.457219
21,39.25956654,246.8924555,26.66929242,134.7155054
22,35.31998985,229.4021374,25.67148483,137.8563024
23,32.00065765,212.8229854,24.64249422,140.8751415
24,29.19457541,197.1837311,23.59293068,143.7692387
25,26.81068958,182.489705,22.53369531,146.5362652
26,24.77343578,168.7290993,21.47377399,149.1759725
27,23.02453293,155.8771259,20.42048789,151.6893462
28,21.51487009,143.9028459,19.38053487,154.0776935
29,20.20450643,132.76917,18.35998941,156.3426429
30,19.06262235,122.4328905,17.36430027,158.4861484
31,18.06401055,112.8483337,16.39763174,160.5111338
32,17.18778828,103.9716362,15.46216797,162.4218896
33,16.41660493,95.75941471,14.55968574,164.2227123
34,15.73542851,88.1690316,13.69179745,165.9177565
35,15.13154567,81.15859456,12.85995103,167.5110349
36,14.59455461,74.68696702,12.06542291,169.0064249
37,14.11587547,68.71530709,11.30859023,170.4082915
38,13.68836327,63.20863735,10.588779,171.7215209
39,13.30580951,58.13367612,9.905323667,172.9507278
40,12.96272023,53.45862278,9.257574592,174.1002911
41,12.654316,49.15315784,8.644898043,175.1743546
42,12.37653032,45.18844867,8.066671533,176.1768306
43,12.12591968,41.53805456,7.521860191,177.1117424
44,11.89957548,38.17859928,7.00899583,177.9831867
45,11.69491206,35.08805665,6.526708331,178.7949948
46,11.50960138,32.24556748,6.07369888,179.5507842
47,11.34157297,29.63143954,5.648739963,180.2539588
48,11.18901362,27.22715101,5.250672865,180.9077107
49,11.05035487,25.01589617,4.878196683,181.5151782
50,10.92425573,22.98292402,4.529878839,182.0794032
51,10.80950477,21.11439101,4.204386297,182.6032241
52,10.70499636,19.39723639,3.900460992,183.0893157
53,10.60973067,17.81918214,3.616919831,183.5401889
54,10.5228135,16.3687345,3.352653498,183.9581917
55,10.44345836,15.0354928,3.106531796,184.3455731
56,10.37098907,13.81038777,2.877414318,184.704448
57,10.30478837,12.68493653,2.664238421,185.0367891
58,10.24428649,11.65114211,2.466003583,185.3444536
59,10.18896114,10.70149351,2.281771401,185.6291831
60,10.13833749,9.828965641,2.110665596,185.8926041
