,S,E,I,R
0,800.0,100.0,50.0,50.0
1,788.0864773493805,99.44367949359477,44.77258712691564,55.77530793957774
2,776.8015483663877,98.10261671844192,40.8071047512713,60.99611052469323
3,766.0132237439484,96.89915127022591,38.7347784651384,65.81672031464296
4,755.5705989824971,95.96424134976247,37.77149928025002,70.48826157709318
5,745.3957182751093,95.15070575972804,37.224034846956066,75.08137021337897
6,735.4245866187703,94.35513275096532,36.814894330329096,79.6031876337268
7,725.7167752545379,93.5315683442429,36.45361201923682,84.08058055423186
8,716.213065606496,92.66652385489098,36.109950304411086,88.52511502167172
9,706.9119535700544,91.76132653482344,35.773146458332725,92.91994079910522
10,697.8250311548253,90.82243165874321,35.43916785382257,97.24970413368249
11,688.9653711187348,89.85703292769793,35.10643504576633,101.53718827669806
12,680.2886714321525,88.87148633178685,34.77429964881807,105.78746733555607
13,671.7906832220256,87.87095181821414,34.44248002604813,110.00023301277358
14,663.5280180130928,86.85946076459766,34.11084505798194,114.1760910880098
15,655.4650060434615,85.84009243407095,33.77932852902248,118.31629264967027
16,647.5671057487247,84.81515667254769,33.44789394114244,122.42250853044078
17,639.8282465035935,83.78635660850746,33.1165193898193,126.49665695009337
18,632.3011451055424,82.75492679877158,32.78519070530124,130.54056470481234
19,624.9601097331549,81.7217472300293,32.453898144059295,134.53641160565044
20,617.7765941615642,80.68743488385937,32.1226346818644,138.4771069319528
21,610.7334265242106,79.65241531416267,31.791395070759407,142.36943823448445
22,603.8754255482053,78.61697718040082,31.46017528288186,146.21931282017948
23,597.1928608293065,77.58131283977448,31.128972162549516,150.0318652811688
24,590.6613770073596,76.54554794701707,30.797783197303087,153.81154532130876
25,584.2600751715611,75.50976265096801,30.466606360723677,157.5484620647477
26,578.0053439263453,74.47400653040677,30.13544000073051,161.23773790688944
27,571.9229660592075,73.43830896419517,29.80428275795273,164.88714630381645
28,565.9901991028675,72.40268623142362,29.47313350472507,168.50305095144876
29,560.1870874924084,71.3671463057417,29.141991298666458,172.0818454230397
30,554.4973643313504,70.33169204615083,28.810855346836483,175.6071456204925
31,548.953945307491,69.29632328688132,28.479724977727606,179.08633349950387
32,543.563507814747,68.26103818079541,28.148599619163466,182.52649986681945
33,538.3064389735496,67.22583404304595,27.817478780712484,185.93346041662207
34,533.1656555586724,66.19070786472312,27.48636203959444,189.31203750354612
35,528.126275023139,65.15565661194421,27.15524902931563,192.64285786531005
36,523.1964182396154,64.12067738803864,26.824139430453062,195.9083032849409
37,518.4082274557973,63.08576751043803,26.49303296314323,199.11821587826566
38,513.7459777363399,62.050924536124086,26.161929380931106,202.2809150126579
39,509.19420372547785,61.01614625750369,25.830828465710454,205.40343551073357
40,504.7432418071975,59.98143068257609,25.499730023543897,208.49173609881663
41,500.4304098504044,58.9467760079737,25.16863388119544,211.5508700531806
42,496.2540145173441,57.91218059001339,24.83753988324225,214.58512659264431
43,492.1977835886587,56.87764291668445,24.50644788965922,217.59814896399575
44,488.24739218668464,55.84316158210715,24.175357773791,220.59303357560225
45,484.3902287566785,54.808735264139244,23.844269420642487,223.57241350448533
46,480.61518932908365,53.77436270530037,23.513182725432202,226.53852899725683
47,476.912496615502,52.74004269689635,23.182097592363274,229.49328707801868
48,473.273540917949,51.70577406607768,22.85101393357519,232.43831199522498
49,469.69074020315634,50.67155566550176,22.519931668246315,235.3749879432014
50,466.15741701878284,49.63738636525402,22.18885072182243,238.30449525752476
51,462.66769021270994,48.60326504669598,21.85777102535108,241.22784109107272
52,459.216379665516,47.56919059793509,21.526692514904973,244.14588541888452
53,455.79892246430353,46.53516191064399,21.195615131080643,247.05936308787977
54,452.4112991372289,45.501177877990585,20.864538818560916,249.96890251680253
55,449.0499687357595,44.46723739347275,20.533463525731626,252.87504155862325
56,445.71181169879776,43.43333935048098,20.20238920434457,255.77824095904282
57,442.39407956193014,42.39948264243854,19.871315809220228,258.67889577830266
58,439.09435068841606,41.36566616339205,19.540243297984397,261.57734508728936
59,435.8104912980716,40.33188880894512,19.209171630834277,264.47451006511926
