,S,E,I,R
0,800.0,100.0,50.0,50.0
1,762.7264144327254,98.85835102248036,44.80935339239727,55.752337634800554
2,727.2320370374231,95.7974301917998,41.08664355492175,60.93341566029904
3,696.1183847405667,93.7101404188815,39.512811672637135,65.83971012033827
4,668.200063169776,92.4320135201769,38.959086237057114,70.65668440276872
5,642.0430144030972,91.6377703601019,38.69934532079282,75.41354487656855
6,617.0118672912664,91.09851905872267,38.531637416149934,80.11464104043769
7,593.0936720304061,90.66647333303376,38.39598515251203,84.78255821585893
8,570.0959669313875,90.25885672060447,38.2720046886529,89.44022318765826
9,547.9909218385664,89.83610247026319,38.15239640075135,94.09647080713975
10,526.98643962649,89.38193337365564,38.03448051288424,98.74935372359805
11,506.94296179836164,88.89118269077845,37.9172523372011,103.39143744733029
12,487.733409761494,88.36369883496869,37.80032462025776,108.01663331752098
13,469.2505996270007,87.80153171043344,37.68354162879883,112.6272822314458
14,451.5032485284755,87.20765151869375,37.566836582507115,117.22557632518762
15,434.60404017028026,86.58534785190855,37.45017819984661,121.81342198280147
16,418.49463599901907,85.93793126129917,37.33355021142443,126.39245637117008
17,403.1043474445673,85.26857573361005,37.216943232881306,130.96129531096602
18,388.3586453387656,84.58023311746187,37.10035136557989,135.50960538799225
19,374.18343347773776,83.87558889955656,36.98377066405678,140.03941338450724
20,360.5081460916934,83.1570443139403,36.86719837739217,144.55370286650367
21,347.38051339409293,82.4267161397871,36.75063253456938,149.05489230002982
22,334.95096200862525,81.68644835487632,36.634071696859415,153.5387088284019
23,323.1348133999258,80.93783131726086,36.5175147995013,157.99279553409815
24,311.8475838750234,80.18222518238288,36.40096104555988,162.42045397018245
25,301.01340864071534,79.42078509855934,36.28440983250593,166.82516086161658
26,290.56546495862233,78.65448642796858,36.16786070037739,171.20990632425736
27,280.4457501864829,77.88414882144122,36.051313294661576,175.57727054675345
28,270.6723505188735,77.11045843455392,35.93476733944456,179.92948576468146
29,261.44164783005965,76.33398791746704,35.818222617829534,184.26848712549022
30,252.6954424197637,75.55521405630397,35.70167895755681,188.595954953457
31,244.35949518412838,74.77453310789082,35.58513622037696,192.91335021478017
32,236.36999281936153,73.9922739709385,35.46859429414993,197.2219445092807
33,228.67251986823612,73.20870939202527,35.352053086936024,201.5228455905418
34,221.220970170467,72.42406542798739,35.23551252255025,205.81701918809966
35,213.97647784223705,71.63852938846682,35.118972537197386,210.1053077408642
36,206.96333408506655,70.8522564715316,35.00243307690918,214.38844652966552
37,200.35783076608777,70.06537528725124,34.88589409558009,218.66707760536798
38,194.11645396162567,69.27799244281323,34.769355553451845,222.94176183862965
39,188.18197423899767,68.49019634075206,34.652817415936326,227.2129893622474
40,182.50654535607703,67.70206032067807,34.53627965269496,231.48118863312206
41,177.05063030914084,66.91364525540081,34.419742236913535,235.74673430541353
42,171.78220832635736,66.12500169493931,34.30320514472682,240.00995407746439
43,166.6763451232638,65.33617163670849,34.18666835475855,244.27113465111893
44,161.7152571121337,64.54718998709691,34.0701318477511,248.5305269221053
45,156.88908559256765,63.75808576854474,33.953595606264756,252.78835050338887
46,152.19774041672963,62.96888311687849,33.837059614432,257.04479766924896
47,147.6544097206163,62.17960210584108,33.72052385775489,261.3000367958063
48,143.2917218813618,61.39025942925402,33.6039883229369,265.5542153634784
49,139.17218491859558,60.60086896586369,33.48745299774221,269.80746257805663
50,135.4055767335542,59.81144224747752,33.370917870877136,274.05989165956873
51,132.06936869026072,59.02198884733377,33.254382931889424,278.3116018415992
52,128.82391118214605,58.232516702635245,33.137848171082204,282.56268011814495
53,125.61307368068844,57.44303238270319,33.02131357943985,286.81320277024867
54,122.43185102802886,56.65354131217539,32.90477914856377,291.0632367004652
55,119.27603749355205,55.86404795700448,32.788244870616374,295.31284059959
56,116.14209274614097,55.07455597964398,32.67171073827194,299.56206596692874
57,113.0270306460452,54.28506836868669,32.55517674467324,303.8109580026606
58,109.92832700256145,53.49558754729619,32.438642883393044,308.0595563884623
59,106.8438430734526,52.70611546401627,32.32210914839983,312.30791828611666
